,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
14495,SingStar Fussballhits,PS3,2010,Misc,Sony Interactive Entertainment,0.0,0.02,0.0,0.01,0.03,Playstation,Sony Interactive Entertainment,False
14496,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,2016,Adventure,5pb,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14497,Dream Club Zero Portable,PSV,2011,Simulation,D3Publisher,0.0,0.0,0.03,0.0,0.03,Playstation,D3Publisher,False
14498,LEGO Harry Potter: Years 1-4,PC,2010,Action,Warner Bros. Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,PC,Warner Bros. Interactive Entertainment,False
14499,Samurai Warriors 2,PS3,2013,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Playstation,Tecmo Koei,False
14500,Bus Simulator 16,PC,2016,Simulation,Astragon,0.0,0.03,0.0,0.0,0.03,PC,Other,False
14501,Mystery Trackers: The Void,PC,2011,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.0,0.03,PC,Other,False
14502,Diabolik Lovers: Lunatic Parade,PSV,2016,Adventure,Idea Factory International,0.0,0.0,0.03,0.0,0.03,Playstation,Idea Factory International,False
14503,Battle Arena Toshinden URA,SAT,1995,Fighting,Sega,0.0,0.0,0.03,0.0,0.03,Sega,Sega,False
14504,The Croods: Prehistoric Party!,WiiU,2013,Misc,D3Publisher,0.01,0.01,0.0,0.0,0.03,Nintendo,D3Publisher,False
14505,Betty Boop's Double Shift,DS,2007,Puzzle,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.03,Nintendo,Zoo Digital Publishing,False
14506,Battle vs. Chess,X360,2011,Misc,TopWare Interactive,0.0,0.02,0.0,0.0,0.03,Xbox,Other,False
14507,Biohazard: Revival Selection,X360,2011,Action,Capcom,0.0,0.0,0.03,0.0,0.03,Xbox,Capcom,False
